   shrill               a.尖声的 vt.尖声地叫
   flutter              vi.(鸟)振翼；飘动
   fellowship           n.伙伴关系；联谊会
   reclaim              vt.开垦，开拓；回收
   abstract             a.理论上的 n.抽象
   partition            n.分开，分割；融墙
   laundry              n.送洗衣店去洗的东西
   orientation          n.向东；定位；方向
   mosque               n.清真寺
   uranium              n.铀
   electrode            n.电极；电焊条
   oar                  n.桨；划手 vi.划(行)
   Venus                n.维纳斯；美人；色情
   mighty               a.强大的；巨大的
   headlong             a.&ad.头向前的(地)
   offspring            n.儿女，子孙，后代
   cubic                a.立方体的；立方的
   watery               a.水的；湿的；乏味的
   intent               a.目不转睛的，热切的
   ohm                  n.欧姆
   boycott              vt.&n.联合抵制
   terrace              n.平台，阳台，露台
   subdue               vt.使屈服，征服
   yeast                n.酵母
   detective            n.侦探，密探
   correlate            n.互相关联的事物
   dome                 n.圆屋顶，拱顶
   growl                vi.(狗等)嗥叫；咆哮
   villa                n.别墅；城郊小屋
   tease                vt.逗乐，戏弄；强求
   automate             vt.使自动化
   traverse             vt.横越，横切，横断
   action               n.作用；情节
   parachute            n.降落伞；风散种子
   seam                 n.缝口；接缝；骨缝
   cosmic               a.宇宙的；广大无边的
   tightly              ad.紧地，牢固地
   axis                 n.轴，轴线；第二颈椎
   predecessor          n.前辈，前任者
   proton               n.质子，氕核
   tramp                vt.&vi.&n.步行，跋涉
   indefinite           a.无限期的
   handbook             n.手册，便览，指南
   referee              n.(足球等)裁判员
   bridge               vt.架桥于，用桥连接
   basin                n.内海；盆地，流域
   membership           n.成员资格；会员人数
   lengthen             vt.使延长 vi.变长
   smash                vt.打碎，打破，粉碎
   feminine             a.女性的；女子气的
   liability            n.责任；倾向；债务
   bypass               n.旁通管 vt.绕过
   magnetism            n.磁；魅力；催眠术
   hydrocarbon          n.烃，碳氢化合物
   tactics              n.策略；战术，兵法
   concert              n.一齐，一致，协作
   colonist             n.移民；殖民地居民
   inflation            n.通货膨胀，物价飞涨
   introduce            vt.提出(议案等)
   gleam                n.微光 vi.发微光
   generalize           vt.概括出vi.形成概念
   integral             a.组成的；整的
   metallic             a.金属的 n.金属粒子
   wag                  vt.摇，摇摆，摆动
   supplement           n.补角
   distract             vt.分散(心思)；打扰
   shrub                n.灌木，灌木丛
   recommendation       n.推荐，介绍；建议
   footpath             n.小路，人行道
   invariably           ad.不变地，永恒地
   deform               vt.损坏…的形状
   transmission         n.遗传，传染
   flush                n.兴奋，脸红；发烧
   arc                  n.弧，弓形物；弧光
   claim                n.权利，所有权
   courageous           a.勇敢的，无畏的
   hoe                  vt.&vi.锄地
   generalization       n.一般化；概括，综合
   massacre             n.大屠杀，残杀
   decimal              a.小数的，十进制的
   correlation          n.相互关系；对射
   storage              n.贮藏，保管；仓库
   meditate             vt.沉思，冥想，反省
   gutter               n.沟，边沟；檐槽
   analogue             n.类似物；同源语
   pitch                n.人造树脂
   commence             vt.开始 vi.获得学位
   shade                n.(色彩的)浓淡，深浅
   hollow               vt.凿空 vi.变空
   outlet               n.发泄(感情等)的方法
   bearing              n.支承；忍受；方位
   notwithstanding      prep.尽管，虽然
   mend                 vt.改正，修正；改进
   desert               vt.遗弃；擅离(职守)
   prevention           n.预防，阻止，妨碍
   manifest             vt.表明 a.明白的
   jealousy             n.妒忌，嫉妒，猜忌
   crank                n.曲柄 vi.转动曲柄
   awful                a.威严的；令人崇敬的
   imitation            n.仿制品，伪制物
   mist                 n.薄雾 vi.下薄雾
   puppy                n.小狗；幼小的动物
   shove                vt.推 vi.(使劲)推
   twist                v.歪曲，曲解
   hardy                a.强壮的，耐劳的
   elapse               vi.(时间)过去，消逝
   scarcity             n.缺乏，不足，萧条
   violate              vt.违犯，违背；侵犯
   shortcut             n.近路，捷径
   blacksmith           n.铁匠，锻工
   calculus             n.微积分；结石
   fearless             a.无畏的，大胆的
   accord               n.调和，符合；协议
   sofa                 n.长沙发，沙发
   extinct              a.绝种的；熄灭了的
   metallurgy           n.冶金学，冶金术
   positively           ad.确定的，断然
   roundabout           a.迂回的；转弯抹角的
   locomotive           a.运动的；机动
   inclination          n.倾斜，点头；斜坡
   exclusive            a.除外的；孤傲的
   opium                n.鸦片；麻醉剂
   virgin               n.处女 a.处女的
   bandit               n.土匪，盗匪，歹徒
   incidence            n.发生，影响；入射
   descendant           n.子孙，后裔；弟子
   instantaneous        a.瞬间的，即刻的
   momentary            a.瞬息间的，片刻的
   slang                n.俚语；行话，黑话
   unanimous            a.(全体)一致的
   cartoon              n.漫画，动画片
   enrich               vt.使富裕；使丰富
   market               vt.(在市场上)销售
   bribe                n.贿赂 vt.向…行贿
   pirate               n.海盗；每盗船
   outlaw               n.逃犯，歹徒
   postal               a.邮政的，邮局的
   trigger              n.扳机 vt.触发，引起
   gust                 n.阵风，一阵狂风
   nickel               n.镍；镍币
   smuggle              vt.私运 vi.走私
   attendance           n.到场；出席人数
   pregnant             a.怀孕的；意义深长的
   vine                 n.蔓，藤，藤本植物
   plunder              v.&n.掠夺，劫掠
   input                vt.输入 n.输入
   shortage             n.短缺，不足额
   trade                vi.做买卖；交换
   resign               vt.使顺从，使听任于
   thorough             a.精心的；详尽的
   engagement           n.婚约；约会，债务
   elliptical           a.椭圆的；省略的
   propel               vt.推进，推动
   resident             n.常住者
   shadowy              a.有影的；幽暗的
   species              n.种，物种；种类
   molecular            a.分子的；克分子的
   civilian             n.平民 a.平民的
   microwave            n.微波
   cleanliness          n.清洁
   mute                 n.弱音器；闭止音
   anybody              n.重要人物
   everlasting          a.永久的；持久的
   pop                  vi.(意外地)出现
   stroll               n.散步，溜达，闲逛
   shipment             n.装货；装载的货物
   friction             n.擦热皮肤
   sweetness            n.甜蜜；新鲜；温和
   ultrasonic           a.超声的 n.超声波
   telex                n.电传，用户电报
   principally          ad.主要，大抵
   bump                 vt.撞击 vi.撞 n.肿块
   bid                  vt.命令 vi.报价
   forthcoming          a.即将到来的；现有的
   strive               vi.努力，奋斗，力求
   ideally              ad.理想地；理论上
   currency             n.通货；通用；市价
   set                  n.集(合)
   badge                n.徽章，像章；标志
   amusement            n.娱乐，消遣，乐趣
   symposium            n.酒会；座谈会
   tyranny              n.暴政，专制；残暴
   subject              vt.使隶属
   clearing             n.(森林中的)空旷地
   vengeance            n.报复，报仇，复仇
   constitution         n.(人的)体格，素质
   atom                 n.微粒；微量
   longitude            n.经线，经度
   hinge                n.合页，折叶，铰链
   ought                v.aux 早应该，本应
   sequence             n.序列
   span                 n.(桥墩间的)墩距
   subsidiary           a.辅助的，补充的
   gesture              vi.(讲话时等)做手势
   hospitality          n.好客，殷勤；宜人
   stride               vi.大踏步走 n.大步
   avail                vt.有益于 n.效用
   tact                 n.机敏，圆滑，得体
   foul                 a.肮脏的；丑恶的
   revolve              vt.&vi.(使)旋转
   ginger               n.姜，生姜
   inspiration          n.灵感；妙想；鼓舞
   decisive             a.决定性的；果断的
   obligation           n.义务，职责，责任
   chestnut             n.栗子；栗树；栗色
   amplitude            n.广大；充足；振幅
   hurricane            n.飓风，十二级风
   default              n.&vi.不履行；缺席
   peculiarity          n.特性，独特性；怪癖
   questionnaire        n.调查表，征求意见表
   arch                 n.拱门 vt.用拱连接
