   appendix             n.附录，附属物；阑尾
   reconcile            vt.使和好；调停
   dwell                n.居住 vi.凝思，细想
   gramophone           n.留声机
   block                n.阻塞；障碍物；炮闩
   wield                vt.挥(剑)；行使
   essence              n.本质，本体；精华
   troublesome          a.累赘的，困难的
   polymer              n.聚合物，多聚物
   quarterly            a.季度的 ad.季度地
   section              n.切下的部分
   simplicity           n.单纯，质朴
   qualitative          a.质的；定性的
   extravagant          a.奢侈的；过度的
   head                 vt.用头顶(球)vi.出发
   formerly             ad.以前，从前
   compatible           a.一致的；兼容制的
   architect            n.建筑师；创造者
   pose                 vt.(使)摆好姿势
   distinguish          v.使显出特色，使杰出
   reside               vi.居住，驻扎；属于
   periodical           n.期刊，杂志
   outermost            a.最外面的，最远的
   supervise            vt.&vi.监督，监视
   deliberately         ad.审慎地，故意地
   impose               vi.利用；欺骗
   interview            vt.接见，会见，会谈
   context              n.上下文；来龙去脉
   tow                  vt.&n.拖引，牵引
   crisp                a.脆的；卷曲的
   category             n.种类，类目；范畴
   prism                n.棱柱(体)；棱镜
   bead                 n.有孔小珠；露珠
   participate          vi.参与 vt.分享
   exert                vt.发挥(威力)，施加
   firmness             n.坚固，坚定，稳固
   consequent           a.作为结果的；必然的
   refrain              vi.抑制，制止，忍住
   subscription         n.预约，用户，订阅费
   graze                vi.喂草；放牧(牲畜)
   retort               vt.&vi.反击；反驳
   generate             vt.发生，产生；生成
   dissolve             vt.解除(婚约等)
   criterion            n.标准，准则，尺度
   hurl                 vt.猛投 vi.猛冲
   religion             n.信念，信条
   excess               n.过度行为，暴行
   corrupt              vt.贿赂 a.腐败的
   embody               vt.体现；包含，收录
   directory            n.姓名地址录；董事会
   metropolitan         a.主要都市的n.大主教
   projector            n.投影仪；探照灯
   harmonious           a.和谐的，协调的
   hostess              n.女主人；旅馆女老板
   sardine              n.沙丁鱼
   literally            ad.照字义，逐字地
   brightness           n.明亮，辉煌，聪明
   disagreement         n.不一致；争论
   hail                 vt.向…欢呼 vi.招呼
   consumer             n.消费者，用户
   clockwise            a.&ad.顺时针方向转的
   retail               n.零售 a.零售的
   opaque               a.不透明的；不传导的
   bureaucracy          n.官僚主义；官僚机构
   propulsion           n.推进，推进力
   snail                n.蜗牛；行动缓慢的人
   garment              n.衣服；服装，衣着
   advocate             n.辩护者 vt.拥护
   lining               n.(衣服里的)衬里
   mint                 n.造币厂；巨额，富源
   fore                 ad.在前面 a.先前的
   replacement          n.归还；取代；置换
   radical              a.基本的；激进的
   superficial          a.表面的；肤浅的
   hop                  vi.跳舞；(人)单足跳
   adoption             n.收养；采纳，采取
   slander              n.&vt.诽谤，诋毁
   brood                vt.沉思vi.郁闭地沉思
   beforehand           ad.预先；提前地
   define               vt.规定；立(界限)
   tape                 vt.系，捆
   tuna                 n.金枪鱼
   captive              a.被俘虏的；被迷住的
   sign                 n.征兆，迹象，病症
   ingredient           n.配料，成分
   reservation          n.保留；预定，预订
   array                vt.装扮 n.队列；排列
   tackle               vt.解决，对付 n.用具
   recreation           n.消遣，娱乐活动
   basement             n.地下室；地窖；底层
   burner               n.灯头，煤气头
   bleach               vt.漂白 vi.变白
   pulley               n.滑轮，滑车，皮带轮
   strange              a.外地的，异乡的
   preservation         n.保存，储藏；保持
   initiative           a.创始的 n.第一步
   tensile              a.张力的；能伸长的
   lodging              n.寄宿，住宿；住所
   anniversary          n.周年纪念日
   hesitate             vi.含糊，支吾；口吃
   winding              n.卷绕着的线a.卷曲的
   merit                vt.值得vi.应受赏(罚)
   wretched             a.不幸的；卑鄙的
   overlap              vt.与…交搭 vi.重迭
   productive           a.生产的；出产…的
   enclosure            n.围绕；围场，围栏
   rational             a.推理的；适度的
   hatch                vt.舱盖，舱口；短门
   allied               a.联合的；联姻的
   shameful             a.可耻的；不道德的
   commission           n.委托，委任；委托状
   hydraulic            a.水力的；水力学的
   sneeze               vi.打喷嚏
   preside              vi.主持；主奏
   pedlar               n.(挨户兜售的)小贩
   singular             a.异常的，奇异的
   primitive            a.远古的，未开化的
   report               n.传说，议论
   doctrine             n.教义，主义；学说
   peripheral           a.周界的；末梢的
   surpass              vt.超过，超越，胜过
   likelihood           n.可能(性)
   masculine            a.男性的；强壮的
   rim                  n.边；边缘，(眼镜)框
   gracious             a.谦和的
   idealism             n.唯心主义；理想主义
   program              vi.编制程序
   salmon               n.鲑，大马哈鱼
   vocation             n.职业，行业
   Thanksgiving         n.感恩节
   charcoal             n.炭，木炭；生物炭
   theory               n.见解，看法，推测
   rigorous             a.(性格等)严峻的
   bishop               n.(基督教的)主教
   olive                n.橄榄，橄榄树
   characterize         vt.表示…的特性
   flask                n.瓶；火药筒；砂箱
   client               n.顾客；诉讼委托人
   fitting              a.适当的 n.配合
   consciousness        n.意识，知觉，觉悟
   affirm               vt.断言，批准；证实
   symmetrical          a.对称的，匀称的
   spherical            a.球形的，球面的
   fertile              a.(创造力)丰富的
   craft                n.技巧
   denial               n.否定；拒绝相信
   maple                n.槭树，枫树
   responsible          a.重要的；可靠的
   dynamic(al)          a.机能上的
   immerse              vt.沉浸；给…施洗礼
   dispatch             vt.派遣；调度 n.急件
   log                  n.航海日志；飞行日志
   compression          n.压缩，压紧，浓缩
   terrorist            n.恐怖分子
   tone                 n.色调，光度；风气
   message              n.启示，要旨，教训
   subordinate          a.下级的，辅助的
   unfold               vt.展开 vi.呈现
   nun                  n.修女，尼姑
   reject               vt.舍弃，抛弃；排斥
   stew                 vt.炖 vi.炖着 n.炖肉
   bend                 vt.使屈从 vi.屈从
   assumption           n.采取；假定；傲慢
   inference            n.推论；推断的结果
   ivory                n.象牙；牙质；乳白色
   valuable             n.贵重物品，财宝
   offence              n.犯罪，犯规；冒犯
   theorem              n.定理；原理，原则
   sovereign            n.君主 a.统治的
   persistence          n.坚持；持续，存留
   polarity             n.极性；(思想等)归向
   insulate             vt.使绝缘，使绝热
   superstition         n.迷信，迷信行为
   circulation          n.循环；(货币等)流通
   treasurer            n.司库，财务主管
   spokesman            n.发言人，代言人
   scramble             vi.&n.爬行，攀登
   cane                 n.(藤等)茎；手杖
   pope                 n.(罗马天主教的)教皇
   sturdy               a.坚定的；牢固的
   fragrant             a.香的，芬芳的
   clutch               vt.抓住 vi.掌握，攫
   erosion              n.腐蚀，侵蚀；糜烂
   incomplete           a.不完全的，未完成的
   flaw                 n.缺点，瑕疵；裂隙
   confidence           n.私房话，秘密，机密
   spectrum             n.系列，范围；波谱
   repay                vt.&vi.偿还，报答
   numerical            a.数字的，数值的
   otherwise            ad.另外；在其他方面
   shrug                vt.&vi.耸(肩) n.耸肩
   accessory            n.同谋 a.附属的
   identification       n.认出，鉴定；身份证
   terminal             n.计算机终端；线接头
   segment              n.切片，部分；段，节
   triangular           a.三角的；三者间的
   insulator            n.隔离者；绝缘体
   specification        n.载明，详述；规格
   tiresome             a.使人厌倦的，讨厌的
   ordinarily           ad.通常，大概
   freight              n.运费；货运；负担
   paper                vt.用纸包装(或覆盖)
   sharply              ad.严厉地，苛刻地
   degradation          n.降级；退化；衰变
   count                n.起拆理由，罪状
   overflow             vt.从…中溢出
   illiterate           a.文盲的 n.文盲
   entitle              vt.把…称作
   reckon               vi.数，算帐 vt.认为
   wardrobe             n.衣柜，衣橱，藏衣室
   frequency            n.频繁，屡次；频率
   strait               n.海峡
   salute               vt.迎接，欢迎
   collide              vi.碰撞；冲突，抵触
   mustard              n.芥子，芥末
   obstinate            a.固执的；顽强的
   overwhelming         a.压倒的，势不可挡的
   garage               n.汽车修理站；飞机库
   terminology          n.术语学，术语
   perish               vi.死亡，夭折；枯萎
