   emission             n.散发；传播；发出物
   obscure              a.阴暗的；蒙昧的
   pant                 vi.气喘
   ample                a.足够的；宽敞的
   jingle               vt.&vi.(使)丁当响
   compliment           n.问候 vt.赞美，祝贺
   skip                 vi.跳；跳绳；略过
   drainage             n.排水；下水道
   bewilder             vt.迷惑，把…弄糊涂
   track                vi.留下足迹
   dean                 n.(大学)院长，系主任
   tribute              n.贡物；献礼，贡献
   raise                vt.提出，发起，发出
   witty                a.机智的；风趣的
   velvet               a.丝绒制的；柔软的
   integrity            n.诚实，正直
   optical              a.光的；光学的
   competitive          a.竞争的，比赛的
   watt                 n.瓦(特)
   stiffness            n.硬度
   forsake              vt.遗弃，抛弃，摒绝
   enlighten            vt.启发，开导；启蒙
   graphite             n.石墨，石墨电极
   propeller            n.螺旋桨，推进器
   motorway             n.汽车道，快车路
   trample              vt.&vi.&n.践踏，蹂躏
   trivial              a.琐碎的；平常的
   practicable          a.能实行的；适用的
   filth                n.污秽，污物；淫猥
   mirror               n.反映，借鉴
   majesty              n.威严，尊严；陛下
   porcelain            n.瓷 a.瓷的，瓷制的
   gathering            n.集会，聚会，聚集
   wade                 vt.趟(河)，跋涉
   scorch               vi.烧焦，枯萎；挖苦
   infer                vt.&vi.猜想，臆测
   intonation           n.语调，声调；发声
   token                n.象征；辅币；纪念品
   ventilate            vt.使通风，使换气
   spacious             a.广阔的，广大的
   alas                 int.唉，哎呀
   electronics          n.电子学
   classic              n.名著 a.不朽的
   Catholic             a.天主教的n.天主教徒
   storm                n.爆发 vt.&vi.猛攻
   establish            vt.使…被永久地接受
   declaration          n.宣布，宣言；申诉
   distinct             a.独特的
   answer               vi.符合，适合
   gamble               n.赌博 vt.冒…的险
   proficient           a.熟练的，精通的
   harsh                a.粗糙的；严厉的
   pamphlet             n.小册子
   persevere            vi.坚持，不屈不挠
   assessment           n.估定；查定；估计数
   divert               vt.使转向 vi.转移
   squat                vi.&vt.(使)蹲下
   transition           n.转变，变迁；过渡
   patriot              n.爱国者，爱国主义者
   tropical             a.热带的；炎热的
   agreeable            a.惬意的；同意的
   desolate             a.荒芜的；孤独的
   verse                n.诗，韵文；诗行
   marginal             a.记在页边的；边缘的
   sensitivity          n.敏感(性)；灵敏性
   destructive          a.破坏(性)的，危害的
   shipbuilding         n.造船(业)，造船学
   duke                 n.公爵，君主；手
   colonial             a.殖民地的，殖民的
   diagnose             vt.诊断(疾病)
   unlimited            a.无限的；不定的
   composition          n.组成，构成，结构
   gossip               n.闲谈；碎嘴子；漫笔
   herb                 n.草本植物；香草
