   notify               vt.通知，告知；报告
   tread                vi.&vt.踩，踏，践踏
   pedal                n.踏脚，踏板，脚蹬
   mint                 n.薄荷；薄荷糖
   extra                n.附加物；额外的人手
   stone                n.果核，(水果的)硬核
   clip                 vt.剪；剪辑报刊
   heading              n.标题，题词，题名
   beetle               n.甲虫；近视眼的人
   prejudice            n.偏见，成见；损害
   censor               vt.审查，检查
   amateur              a.业余的n.业余爱好者
   piston               n.活塞
   lobby                n.前厅，(剧院的)门廊
   rinse                vt.涮，嗽；冲洗
   misery               n.痛苦，悲惨，不幸
   rooster              n.公鸡；狂妄自负的人
   value                vt.尊重，重视，评价
   cement               vt.粘结 vi.粘紧
   hiss                 n.嘶嘶声 vi.嘶嘶作声
   individual           a.特殊的
   gross                a.(语言、举止)粗俗的
   successor            n.继承人，继任者
   trench               n.深沟；壕沟，战壕
   grief                n.悲哀，悲痛，悲伤
   subscribe            vi.订购，认购；预订
   body                 n.物体；(液)体；实质
   indispensable        a.必不可少的，必需的
   choice               n.入选者 a.优等的
   cross                a.易怒的；杂交的
   infect               vt.使受影响
   extinguish           vt.熄灭，扑灭；消灭
   duplicate            n.复制品 vt.复制
   fighter              n.斗争者；战斗机
   furious              a.狂暴的；强烈的
   prohibition          n.禁止；禁令，禁律
   twilight             n.黎明，黄昏；曙光
   tar                  n.柏油，焦油
   missionary           n.传教士
   personnel            n.人事部门
   postulate            vt.要求，假定，假设
   sociology            n.社会学
   float                n.漂浮物；浮标，木筏
   designate            vt.指出，指示；指定
   detector             n.发觉者，探测器
   Jesus                n.耶稣
   positive             a.正的；阳性的
   scope                n.眼界
   universally          ad.普遍地，一般地
   monster              n.怪物；畸形的动植物
   fright               n.惊吓，恐怖
   perception           n.感觉；概念；理解力
   bulletin             告示，公告，公报
   regulate             vt.调整，调节，对准
   notable              n.值得注意的；著名的
   currently            ad.普遍地；当前
   bugle                n.军号，喇叭
   extraordinarily      ad.非常地，特别地
   fuse                 n.保险丝，导火线
   prairie              n.大草原，牧场
   complication         n.复杂，混乱；并发症
